"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,products_category_heading,_products_category_heading,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text"
1,Uncategorized,uncategorized,,,,,,,,,,,,,,,
9,"Surveillance System",surveillance-system,,,,,8,,,https://uranisgt.com/wp-content/uploads/2024/01/ITbanner3.jpg||https://uranisgt.com/wp-content/uploads/2024/01/design_ats_69680_collage_of_monitor_laptop_mouse_keyboard_proje_c428ab13-f4fb-4954-9857-b9bbcab0840f.png||https://uranisgt.com/wp-content/uploads/2024/01/ITbanner-NEW.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Securitybanner.jpg||https://uranisgt.com/wp-content/uploads/2024/01/ITbanner-whitebg.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Uranis-slider.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Electronic-Archiving-system-banner-1.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Electronic-Archiving-system-banner2.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Automobile-banner2.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Electronic-Archiving-system-banner.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Automobile-banner.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Banner-Image-1.png||https://uranisgt.com/wp-content/uploads/2023/12/ON-TIME-DELIVERIES.svg||https://uranisgt.com/wp-content/uploads/2023/12/PREMIUM-QUALITY.svg||https://uranisgt.com/wp-content/uploads/2023/12/GLOBAL-REACH.svg||https://uranisgt.com/wp-content/uploads/2023/12/Cisco.png||https://uranisgt.com/wp-content/uploads/2023/12/Dell.png||https://uranisgt.com/wp-content/uploads/2023/12/Canon.png||https://uranisgt.com/wp-content/uploads/2023/12/Toyota.png||https://uranisgt.com/wp-content/uploads/2023/12/Microsoft.png||https://uranisgt.com/wp-content/uploads/2023/12/Adobe.png||https://uranisgt.com/wp-content/uploads/2023/12/Samsung.png||https://uranisgt.com/wp-content/uploads/2023/12/Kaspersky.png||https://uranisgt.com/wp-content/uploads/2023/12/Bosch.png||https://uranisgt.com/wp-content/uploads/2023/12/Apple.png||https://uranisgt.com/wp-content/uploads/2023/12/uranis_banner_img-2.png||https://uranisgt.com/wp-content/uploads/2023/12/newarrival_banner-1.png||https://uranisgt.com/wp-content/uploads/2023/12/thisweektoppicks_banner-1.png||https://uranisgt.com/wp-content/uploads/2023/12/uranis_banner_img-1.png||https://uranisgt.com/wp-content/uploads/2023/12/thisweektoppicks_banner.png||https://uranisgt.com/wp-content/uploads/2023/12/newarrival_banner.png||https://uranisgt.com/wp-content/uploads/2023/12/uranis_banner_img.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo7.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo4.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo5.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo6.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo1-1.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo2.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo3.png||https://uranisgt.com/wp-content/uploads/2023/12/customer-1.png||https://uranisgt.com/wp-content/uploads/2023/12/demo4-ct-img2.jpg||https://uranisgt.com/wp-content/uploads/2023/12/demo4-ct-img1.jpg||https://uranisgt.com/wp-content/uploads/2023/12/demo4-ct2-img4.jpg||https://uranisgt.com/wp-content/uploads/2023/12/demo4-ct2-img2.jpg||https://uranisgt.com/wp-content/uploads/2023/12/demo3-ct-img1.jpg||https://uranisgt.com/wp-content/uploads/2023/12/sub-collection10-1.jpg||https://uranisgt.com/wp-content/uploads/2023/12/demo1-ct-img1.jpg||https://uranisgt.com/wp-content/uploads/2023/12/banner-new.png||https://uranisgt.com/wp-content/uploads/2023/12/demo3-side-bnr1.jpg||https://uranisgt.com/wp-content/uploads/2023/12/banner-slider2.png||https://uranisgt.com/wp-content/uploads/2023/12/banner-slider1.png||https://uranisgt.com/wp-content/uploads/2023/12/banner-slider.png,ITbanner3.jpg||design_ats_69680_collage_of_monitor_laptop_mouse_keyboard_proje_c428ab13-f4fb-4954-9857-b9bbcab0840f.png||ITbanner-NEW.jpg||Securitybanner.jpg||ITbanner-whitebg.jpg||Uranis-slider.jpg||Electronic-Archiving-system-banner-1.jpg||Electronic-Archiving-system-banner2.jpg||Automobile-banner2.jpg||Electronic-Archiving-system-banner.jpg||Automobile-banner.jpg||Banner-Image-1.png||ON-TIME-DELIVERIES.svg||PREMIUM-QUALITY.svg||GLOBAL-REACH.svg||Cisco.png||Dell.png||Canon.png||Toyota.png||Microsoft.png||Adobe.png||Samsung.png||Kaspersky.png||Bosch.png||Apple.png||uranis_banner_img-2.png||newarrival_banner-1.png||thisweektoppicks_banner-1.png||uranis_banner_img-1.png||thisweektoppicks_banner.png||newarrival_banner.png||uranis_banner_img.png||brandlogo7.png||brandlogo4.png||brandlogo5.png||brandlogo6.png||brandlogo1-1.png||brandlogo2.png||brandlogo3.png||customer-1.png||demo4-ct-img2.jpg||demo4-ct-img1.jpg||demo4-ct2-img4.jpg||demo4-ct2-img2.jpg||demo3-ct-img1.jpg||sub-collection10-1.jpg||demo1-ct-img1.jpg||banner-new.png||demo3-side-bnr1.jpg||banner-slider2.png||banner-slider1.png||banner-slider.png,/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/ITbanner3.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/design_ats_69680_collage_of_monitor_laptop_mouse_keyboard_proje_c428ab13-f4fb-4954-9857-b9bbcab0840f.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/ITbanner-NEW.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Securitybanner.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/ITbanner-whitebg.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Uranis-slider.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Electronic-Archiving-system-banner-1.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Electronic-Archiving-system-banner2.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Automobile-banner2.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Electronic-Archiving-system-banner.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Automobile-banner.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Banner-Image-1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/ON-TIME-DELIVERIES.svg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/PREMIUM-QUALITY.svg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/GLOBAL-REACH.svg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Cisco.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Dell.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Canon.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Toyota.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Microsoft.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Adobe.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Samsung.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Kaspersky.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Bosch.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Apple.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/uranis_banner_img-2.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/newarrival_banner-1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/thisweektoppicks_banner-1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/uranis_banner_img-1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/thisweektoppicks_banner.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/newarrival_banner.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/uranis_banner_img.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo7.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo4.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo5.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo6.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo1-1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo2.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo3.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/customer-1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/demo4-ct-img2.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/demo4-ct-img1.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/demo4-ct2-img4.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/demo4-ct2-img2.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/demo3-ct-img1.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/sub-collection10-1.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/demo1-ct-img1.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/banner-new.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/demo3-side-bnr1.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/banner-slider2.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/banner-slider1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/banner-slider.png,857||854||846||843||835||830||804||794||792||763||759||757||515||514||513||497||498||499||500||501||502||493||494||495||496||360||357||356||355||332||331||330||206||203||204||205||200||201||202||194||187||186||184||183||179||177||175||163||160||125||124||123,"Laptops||design_ats_69680_collage_of_monitor_laptop_mouse_keyboard_proje_c428ab13-f4fb-4954-9857-b9bbcab0840f||IT Banner||Security||IT Accessories||Uranis-slider||Electronic Archiving system-banner||Archiving System||Automobiles||Archiving||Automobiles||URANIS Banner||ON-TIME DELIVERIES||PREMIUM QUALITY||Global Reach||Cisco||Dell||Canon||Toyota||Microsoft||Adobe||Samsung||Kaspersky||Bosch||Apple||URANIS Featured Product||New Arrivals||URANIS Top picks||URANIS Featured Product||URANIS Top picks||URANIS New arrivals||URANIS Featured||brandlogo7||brandlogo4||brandlogo5||brandlogo6||brandlogo1||brandlogo2||brandlogo3||customer||Home Collection||Home Collection||demo4-ct2-img4||demo4-ct2-img2||demo3-ct-img1||sub-collection10||demo1-ct-img1||banner-new||demo3-side-bnr1||banner-slider2||banner-slider1||banner-slider","Laptops||||IT Banner||Security||IT Accessories||||Electronic Archiving system-banner||Archiving System||Automobiles||Archiving||Automobiles||URANIS Banner||ON-TIME DELIVERIES||PREMIUM QUALITY||Global Reach||Cisco||Dell||Canon||Toyota||Microsoft||Adobe||Samsung||Kaspersky||Bosch||Apple||URANIS Featured Product||New Arrivals||URANIS Top picks||URANIS Featured Product||URANIS Top picks||URANIS New arrivals||URANIS Featured||||||||||||||||||Home Collection||Home Collection||||||||||||||||||||","Laptops||||IT Banner||Security||IT Accessories||||||Archiving System||Automobiles||||Automobiles||URANIS Banner||ON-TIME DELIVERIES||PREMIUM QUALITY||Global Reach||Cisco||Dell||Canon||Toyota||Microsoft||Adobe||Samsung||Kaspersky||Bosch||Apple||URANIS Featured Product||New Arrivals||URANIS Top picks||URANIS Featured Product||URANIS Top picks||URANIS New arrivals||URANIS Featured||||||||||||||||||Home Collection||Home Collection||||||||||||||||||||",
10,"Security System",security-system,,,,,5,,,,,,,,,,
11,"Networking System",networking-system,,,,,4,,,,,,,,,,
12,"Data Storage System",data-storage-system,,,,,3,,,https://uranisgt.com/wp-content/uploads/2024/01/Uranis-aboutus-image.jpg||https://uranisgt.com/wp-content/uploads/2024/01/About-Us-image.jpg||https://uranisgt.com/wp-content/uploads/2024/01/logo__.png||https://uranisgt.com/wp-content/uploads/2024/01/Logo11.png||https://uranisgt.com/wp-content/uploads/2024/01/logo.png||https://uranisgt.com/wp-content/uploads/2024/01/annimex-icons.svg||https://uranisgt.com/wp-content/uploads/2024/01/About-Us.jpg||https://uranisgt.com/wp-content/uploads/2024/01/Arif-Halai.jpg||https://uranisgt.com/wp-content/uploads/2023/12/Photo.jpg||https://uranisgt.com/wp-content/uploads/2023/12/Corporate-profile_Female_Sample-01.png||https://uranisgt.com/wp-content/uploads/2023/12/Corporate-profile_Male_Sample-01.png||https://uranisgt.com/wp-content/uploads/2023/12/Corporate-profile_Female_Sample-02.png||https://uranisgt.com/wp-content/uploads/2023/12/Corporate-profile_Male_Sample-02.png||https://uranisgt.com/wp-content/uploads/2023/12/Corporate-profile_Female_Sample-03.png||https://uranisgt.com/wp-content/uploads/2023/12/Corporate-profile_Male_Sample-03.png||https://uranisgt.com/wp-content/uploads/2023/12/customer.png||https://uranisgt.com/wp-content/uploads/2023/12/brandlogo1.png||https://uranisgt.com/wp-content/uploads/2023/12/about-team1.jpg||https://uranisgt.com/wp-content/uploads/2023/12/about1.jpg,Uranis-aboutus-image.jpg||About-Us-image.jpg||logo__.png||Logo11.png||logo.png||annimex-icons.svg||About-Us.jpg||Arif-Halai.jpg||Photo.jpg||Corporate-profile_Female_Sample-01.png||Corporate-profile_Male_Sample-01.png||Corporate-profile_Female_Sample-02.png||Corporate-profile_Male_Sample-02.png||Corporate-profile_Female_Sample-03.png||Corporate-profile_Male_Sample-03.png||customer.png||brandlogo1.png||about-team1.jpg||about1.jpg,/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Uranis-aboutus-image.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/About-Us-image.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/logo__.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Logo11.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/logo.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/annimex-icons.svg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/About-Us.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2024/01/Arif-Halai.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Photo.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Corporate-profile_Female_Sample-01.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Corporate-profile_Male_Sample-01.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Corporate-profile_Female_Sample-02.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Corporate-profile_Male_Sample-02.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Corporate-profile_Female_Sample-03.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/Corporate-profile_Male_Sample-03.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/customer.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/brandlogo1.png||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/about-team1.jpg||/home/u233214964/domains/uranisgt.com/public_html/wp-content/uploads/2023/12/about1.jpg,808||790||789||788||787||786||761||754||553||510||508||509||507||505||506||86||75||70||50,"About URANIS||About URANIS||logo__||Logo11||logo||annimex-icons||About URANIS||Arif Halai||Mr. Arif Halai||Corporate-profile_Female_Sample-01||Corporate-profile_Male_Sample-01||Corporate-profile_Female_Sample-02||Corporate-profile_Male_Sample-02||Corporate-profile_Female_Sample-03||Corporate-profile_Male_Sample-03||customer||Logo||about-team1||Uranis About","About URANIS||About URANIS||||||||||About URANIS||Arif Halai||Mr. Arif Halai||||||||||||||Customer||Logo||||Uranis About","||About URANIS||||||||||About URANIS||Arif Halai||Mr. Arif Halai||||||||||||||Customer||Logo||||Uranis About",
13,"Data Center",data-center,,,,,6,,field_65a50f7977f35,,,,,,,,
14,Computers/Servers,computers-servers,,,,,3,,,,,,,,,,
15,Laptops,laptops,,,,,4,"Laptops Test",field_65a50f7977f35,,,,,,,,
16,"Printers and Photo Copiers",printers-photo-copiers,,,,,4,,,,,,,,,,
17,"Mobiles Phones",mobiles-phones,,,,,3,,,,,,,,,,
